,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
0,North Carolina,A L Brown High,415 E 1ST STREET,KANNAPOLIS,28083,1,0,0,1,4-Eligible for Title I SWP provides no program,35.496330,-80.618593,9th Grade,12th Grade,1,1,1,1,1475,1475,45.5,46.1,31.3
1,North Carolina,Albemarle High,311 PARK RIDGE ROAD,ALBEMARLE,28001,1,0,0,1,4-Eligible for Title I SWP provides no program,35.371268,-80.193152,9th Grade,12th Grade,1,1,1,1,464,464,29.1,43.4,25.6
2,North Carolina,Alexander Central High,223 SCHOOL DRIVE,TAYLORSVILLE,28681,1,0,0,1,4-Eligible for Title I SWP provides no program,35.916796,-81.188880,9th Grade,12th Grade,1,1,1,1,1601,1601,60.9,59.9,63.2
3,North Carolina,Alleghany High,404 TROJAN AVENUE,SPARTA,28675,1,0,0,0,6-Not eligible for either TAS or SWP,36.509471,-81.124986,9th Grade,12th Grade,1,1,1,1,454,454,60.2,59.1,58.3
4,North Carolina,Andrews High,50 HIGH SCHOOL DRIVE,ANDREWS,28901,1,0,0,1,4-Eligible for Title I SWP provides no program,35.195186,-83.824323,9th Grade,12th Grade,1,1,1,1,273,273,50.0,62.3,32.4
5,North Carolina,Anson Co. Early College High,177 LEDBETTER STREET,POLKTON,28135,1,0,0,1,4-Eligible for Title I SWP provides no program,34.999700,-80.210481,9th Grade,13th Grade,1,1,1,1,195,180,20.5,73.3,65.9
6,North Carolina,Anson High School,96 ANSON HIGH SCHOOL ROAD,WADESBORO,28170,1,0,0,1,4-Eligible for Title I SWP provides no program,34.977410,-80.103131,9th Grade,12th Grade,1,1,1,1,633,633,5.1,21.0,24.5
7,North Carolina,Anson New Tech High,118 W. ASHE STREET,WADESBORO,28170,1,0,0,1,4-Eligible for Title I SWP provides no program,34.960669,-80.078198,9th Grade,12th Grade,1,1,1,1,165,165,18.2,36.6,13.6
8,North Carolina,Apex High,1501 LAURA DUNCAN RD,APEX,27502,1,0,0,0,6-Not eligible for either TAS or SWP,35.745325,-78.837272,9th Grade,12th Grade,1,1,1,1,2549,2549,79.6,82.7,85.6
9,North Carolina,Arapahoe Charter School,9005 NC HWY 306 S,ARAPAHOE,28510,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.012253,-76.821202,Kindergarten,10th Grade,0,0,1,1,470,67,37.9,52.2,57.5
