,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio
0,A L Brown High,1,0,0,1,35.496330,-80.618593,1,1,1,1,1475,14.73
1,Albemarle High,1,0,0,1,35.371268,-80.193152,1,1,1,1,464,13.39
2,Alexander Central High,1,0,0,1,35.916796,-81.188880,1,1,1,1,1601,16.64
3,Alleghany High,1,0,0,0,36.509471,-81.124986,1,1,1,1,454,13.16
4,Andrews High,1,0,0,1,35.195186,-83.824323,1,1,1,1,273,16.95
5,Anson Co. Early College High,1,0,0,1,34.999700,-80.210481,1,1,1,1,195,19.60
6,Anson High School,1,0,0,1,34.977410,-80.103131,1,1,1,1,633,13.09
7,Anson New Tech High,1,0,0,1,34.960669,-80.078198,1,1,1,1,165,21.71
8,Apex High,1,0,0,0,35.745325,-78.837272,1,1,1,1,2549,19.31
9,Arapahoe Charter School,1,0,1,1,35.012253,-76.821202,0,0,1,1,470,17.00
10,Ardrey Kell High,1,0,0,0,35.029990,-80.826650,1,1,1,1,2701,21.18
11,Ashbrook High,1,0,0,1,35.243106,-81.127153,1,1,1,1,1436,16.06
12,Ashe County High,1,0,0,1,36.392701,-81.477977,1,1,1,1,953,14.33
13,Asheboro High,1,0,0,1,35.689290,-79.818420,1,1,1,1,1311,16.83
14,Asheville High,1,0,0,1,35.572901,-82.553099,1,1,1,1,1089,11.85
15,Athens Drive High,1,0,0,1,35.768700,-78.711273,1,1,1,1,1884,15.76
16,Atkins Academic & Tech High,1,1,0,1,36.108034,-80.195887,1,1,1,1,603,15.01
17,Avery High STEM Academy,1,0,0,1,36.067608,-81.919724,1,1,1,1,174,21.75
18,Ayden-Grifton High,1,0,0,1,35.430252,-77.431952,1,1,1,1,689,15.99
19,Bandys High,1,0,0,0,35.645263,-81.084386,1,1,1,1,872,17.07
20,Bartlett Yancey High,1,0,0,1,36.403341,-79.327640,1,1,1,1,814,15.53
21,Bear Grass,1,0,1,0,35.767732,-77.127148,1,1,1,1,331,13.79
22,Beaufort Co Early College High,1,0,0,1,35.532287,-76.966934,1,1,1,1,227,37.83
23,Beddingfield High,1,0,0,1,35.659240,-77.876371,1,1,1,1,868,15.03
24,Ben L. Smith High School,1,0,0,1,36.034740,-79.847350,1,1,1,1,1296,15.19
25,Bertie Early College High,1,0,0,1,36.034085,-77.013154,1,1,1,1,165,18.33
26,Bertie High,1,0,0,1,36.050399,-76.972151,1,1,1,1,485,12.65
27,Bertie STEM High,1,0,0,1,36.050399,-76.972151,1,1,1,1,132,15.10
28,Bessemer City High,1,0,0,1,35.297240,-81.281434,1,1,1,1,646,15.52
29,Blue Ridge Early College,1,0,0,1,35.128613,-83.120512,1,1,1,1,177,16.43
30,Brevard High,1,0,0,1,35.217205,-82.735576,1,1,1,1,725,13.14
31,Brunswick County Early College,1,0,0,1,34.038129,-78.229837,1,1,1,1,341,28.68
32,Early College,1,0,0,1,35.570728,-82.555976,1,1,1,1,266,19.90
33,Bunker Hill High,1,0,0,1,35.742030,-81.111320,1,1,1,1,936,16.28
34,Bunn High,1,0,0,1,35.954127,-78.249753,1,1,1,1,861,15.80
35,Burns High,1,0,0,1,35.420092,-81.532265,1,1,1,1,1084,14.03
36,Butler High,1,0,0,1,35.120282,-80.691593,1,1,1,1,2081,19.46
37,C E Jordan High,1,0,0,1,35.922669,-78.962157,1,1,1,1,1848,17.18
38,Cabarrus-Kannapolis Early Coll,1,0,0,1,35.436630,-80.659001,1,1,1,1,232,27.62
39,Caldwell Career Cen Mid. Coll.,1,0,0,1,35.855556,-81.485220,1,1,1,1,240,12.94
40,Caldwell Early College,1,0,0,0,35.853817,-81.483806,1,1,1,1,385,21.39
41,Camden County High,1,0,0,0,36.326910,-76.171991,1,1,1,1,460,14.18
42,CamTech High,1,0,0,0,36.327618,-76.172311,1,1,1,1,156,15.93
43,Cape Fear High,1,0,0,1,35.034044,-78.762384,1,1,1,1,1535,16.38
44,Cape Hatteras Secondary School,1,0,0,1,35.269310,-75.534300,1,1,1,1,303,10.38
45,Career Academy and Technical School,1,0,0,0,35.714190,-80.887581,1,1,1,1,50,5.39
46,Carolina International School,1,0,1,0,35.411570,-80.737721,0,1,1,1,700,15.98
47,Carrboro High,1,0,0,0,35.891723,-79.085455,1,1,1,1,825,14.51
48,Carson High,1,0,0,1,35.563039,-80.545691,1,1,1,1,1231,17.31
49,Carter G Woodson School,1,0,1,1,36.067380,-80.231160,1,1,1,1,438,223.47
50,Carver High,1,0,0,1,36.134288,-80.206554,1,1,1,1,648,13.60
51,Cary High,1,0,0,1,35.771138,-78.766330,1,1,1,1,2396,17.68
52,CCCA - Fair Bluff /Southeastern Campuses,1,0,0,1,34.331954,-78.782393,1,1,1,1,278,26.05
53,Cedar Ridge High,1,0,0,0,36.054083,-79.126208,1,1,1,1,1163,15.71
54,Central Academy of Technology & Arts,1,0,0,0,34.970940,-80.568760,1,1,1,1,802,15.48
55,Central Cabarrus High,1,0,0,1,35.362718,-80.583852,1,1,1,1,1416,15.99
56,Central Davidson High,1,0,0,1,35.739502,-80.223108,1,1,1,1,969,17.53
57,Challenger Early College High,1,0,0,1,35.699458,-81.288100,1,1,1,1,368,26.29
58,Chapel Hill High,1,0,0,0,35.946507,-79.080289,1,1,1,1,1439,15.74
59,Charles B Aycock High,1,0,0,1,35.509148,-77.980071,1,1,1,1,1267,17.85
60,Charlotte Learning Academy,1,0,1,1,35.181580,-80.864521,0,0,1,1,146,14.60
61,Charlotte Secondary,1,0,1,1,35.151970,-80.748591,0,1,1,1,425,11.81
62,Chase High School,1,0,0,1,35.251360,-81.843411,1,1,1,1,812,16.40
63,Chatham Central High,1,0,0,0,35.615120,-79.390631,1,1,1,1,404,14.16
64,Chatham Charter,1,0,1,0,35.742493,-79.479562,0,1,1,1,497,14.97
65,Cherryville High,1,0,0,1,35.389682,-81.379896,1,1,1,1,554,14.37
66,City of Medicine Academy,1,0,0,1,36.038838,-78.902553,1,1,1,1,321,13.66
67,Clayton High,1,0,0,0,35.650024,-78.466420,1,1,1,1,1512,17.69
68,Cleveland ECHS,1,0,0,1,35.277570,-81.490361,1,1,1,1,223,32.94
69,Cleveland High,1,0,0,0,35.551507,-78.500107,1,1,1,1,1468,18.26
70,Clinton High,1,0,0,1,34.973848,-78.329093,1,1,1,1,848,15.99
71,Clover Garden,1,0,1,1,36.187017,-79.471089,1,1,1,1,607,17.97
72,Cochrane Collegiate Academy,1,0,0,1,35.246492,-80.750138,1,1,1,1,702,14.51
73,Collaborative College for Technology,1,0,0,1,35.783453,-80.893121,1,1,1,1,240,25.32
74,Columbia High,1,0,0,1,35.919076,-76.245535,1,1,1,1,167,9.86
75,Community School of Davidson,1,0,1,0,35.508080,-80.849741,1,1,1,1,1327,14.61
76,Concord High,1,0,0,1,35.433650,-80.582182,1,1,1,1,1252,15.82
77,Corinth Holders High,1,0,0,0,35.724760,-78.337811,1,1,1,1,1679,18.40
78,Cox Mill High School,1,0,0,0,35.395070,-80.728611,1,1,1,1,1478,19.23
79,Craven Early College High,1,0,0,1,35.111602,-77.102325,1,1,1,1,205,16.24
80,Crest High,1,0,0,1,35.271571,-81.609854,1,1,1,1,1260,15.01
81,Creswell High,1,0,0,1,35.868941,-76.395907,1,1,1,1,155,9.69
82,Croatan High,1,0,0,0,34.748000,-76.895490,1,1,1,1,904,15.69
83,Cross Creek Early College,1,0,0,1,35.070959,-78.893585,1,1,1,1,247,16.47
84,Williams Academy,1,0,1,1,36.021600,-81.929700,1,1,1,1,104,6.94
85,Crossroads Charter High,1,0,1,1,35.261163,-80.773678,1,1,1,1,182,587.10
86,CS Brown High,1,0,0,1,36.387550,-76.933100,1,1,1,1,43,7.17
87,Cumberland International Early CollegeHS,1,0,0,1,35.071595,-78.894515,1,1,1,1,234,18.00
88,Currituck County High,1,0,0,0,36.372527,-75.969111,1,1,1,1,972,14.62
89,Cuthbertson High,1,0,0,0,34.975950,-80.740031,1,1,1,1,1449,20.81
90,D H Conley High,1,0,0,0,35.530585,-77.324777,1,1,1,1,1644,18.46
91,Dalton McMichael High,1,0,0,1,36.417552,-79.942671,1,1,1,1,985,17.74
92,Davidson Early College,1,0,0,1,35.868790,-80.296620,1,1,1,1,107,24.43
93,Davie County Early College High,1,0,0,1,35.870882,-80.555530,1,1,1,1,156,26.00
94,Davie County High,1,0,0,1,35.873036,-80.552196,1,1,1,1,1799,16.89
95,Discovery High School,1,0,0,1,35.679590,-81.222361,1,1,1,1,224,16.91
96,Dixon High,1,0,0,0,34.587976,-77.478352,1,1,1,1,835,17.40
97,Douglas Byrd High,1,0,0,1,35.030827,-78.948512,1,1,1,1,1189,14.09
98,Duplin Early College High,1,0,0,1,34.946531,-77.978821,1,1,1,1,180,25.71
99,Durham School of the Arts,1,1,0,1,36.003058,-78.906780,1,1,1,1,1650,15.59
100,Dynamic Community Charter,2,0,1,0,35.856740,-78.699741,0,0,1,1,67,6.56
101,E E Smith High,1,0,0,1,35.084083,-78.895641,1,1,1,1,1064,15.03
102,Early College at Guilford,1,0,0,0,36.095092,-79.890057,1,1,1,1,198,24.60
103,Early College EAST High,1,0,0,0,34.878517,-76.898878,1,1,1,1,220,24.12
104,Early College of Forsyth Co,1,0,0,0,36.068835,-80.271743,1,1,1,1,211,23.44
105,East Bladen High,1,0,0,1,34.581079,-78.530675,1,1,1,1,646,14.32
106,East Burke High,1,0,0,1,35.721566,-81.482113,1,1,1,1,991,17.42
107,East Carteret High,1,0,0,1,34.781690,-76.631261,1,1,1,1,596,13.90
108,East Chapel Hill High,1,0,0,0,35.961012,-79.029733,1,1,1,1,1411,16.47
109,East Columbus High,1,0,0,1,34.335906,-78.501626,1,1,1,1,465,14.09
110,East Davidson High,1,0,0,1,35.850167,-80.101925,1,1,1,1,958,17.26
111,East Duplin High,1,0,0,1,34.939216,-77.784213,1,1,1,1,995,18.14
112,East Forsyth High,1,0,0,1,36.117527,-80.150532,1,1,1,1,1899,18.14
113,East Gaston High,1,0,0,0,35.315441,-81.075626,1,1,1,1,1122,16.67
114,East Henderson High,1,0,0,1,35.297618,-82.424020,1,1,1,1,936,14.64
115,East Lincoln High,1,0,0,0,35.454121,-81.025771,1,1,1,1,924,18.09
116,East Mecklenburg High,1,0,0,1,35.176007,-80.757978,1,1,1,1,1840,16.52
