,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio,Reduced Lunch,Free Lunch,Percent Lunch
0,A L Brown High,1,0,0,1,35.49633,-80.618593,1475,14.73,181.0,662.0,0.571525423729
1,Albemarle High,1,0,0,1,35.371268,-80.193152,464,13.39,39.0,288.0,0.70474137931
2,Alexander Central High,1,0,0,1,35.916796,-81.18888,1601,16.64,145.0,551.0,0.434728294816
3,Alleghany High,1,0,0,0,36.509471,-81.124986,454,13.16,45.0,205.0,0.550660792952
4,Andrews High,1,0,0,1,35.195186,-83.824323,273,16.95,30.0,128.0,0.578754578755
5,Anson Co. Early College High,1,0,0,1,34.9997,-80.210481,195,19.6,15.0,77.0,0.471794871795
6,Anson High School,1,0,0,1,34.97741,-80.103131,633,13.09,47.0,422.0,0.740916271722
7,Anson New Tech High,1,0,0,1,34.960669,-80.078198,165,21.71,14.0,94.0,0.654545454545
8,Apex High,1,0,0,0,35.745325,-78.837272,2549,19.31,50.0,176.0,0.0886622204786
9,Arapahoe Charter School,1,0,1,1,35.012253,-76.821202,470,17.0,47.0,203.0,0.531914893617
10,Ardrey Kell High,1,0,0,0,35.02999,-80.82665,2701,21.18,79.0,232.0,0.1151425398
11,Ashbrook High,1,0,0,1,35.243106,-81.127153,1436,16.06,119.0,718.0,0.58286908078
12,Ashe County High,1,0,0,1,36.392701,-81.477977,953,14.33,110.0,397.0,0.532004197272
13,Asheboro High,1,0,0,1,35.68929,-79.81842,1311,16.83,111.0,714.0,0.629290617849
14,Asheville High,1,0,0,1,35.572901,-82.553099,1089,11.85,49.0,378.0,0.392102846648
15,Athens Drive High,1,0,0,1,35.7687,-78.711273,1884,15.76,87.0,622.0,0.376326963907
16,Atkins Academic & Tech High,1,1,0,1,36.108034,-80.195887,603,15.01,38.0,154.0,0.318407960199
17,Avery High STEM Academy,1,0,0,1,36.067608,-81.919724,174,21.75,10.0,71.0,0.465517241379
18,Ayden-Grifton High,1,0,0,1,35.430252,-77.431952,689,15.99,48.0,339.0,0.561683599419
19,Bandys High,1,0,0,0,35.645263,-81.084386,872,17.07,56.0,236.0,0.334862385321
20,Bartlett Yancey High,1,0,0,1,36.403341,-79.32764,814,15.53,81.0,387.0,0.574938574939
22,Beaufort Co Early College High,1,0,0,1,35.532287,-76.966934,227,37.83,17.0,83.0,0.440528634361
23,Beddingfield High,1,0,0,1,35.65924,-77.876371,868,15.03,62.0,568.0,0.725806451613
24,Ben L. Smith High School,1,0,0,1,36.03474,-79.84735,1296,15.19,0.0,1283.0,0.989969135802
25,Bertie Early College High,1,0,0,1,36.034085,-77.013154,165,18.33,0.0,162.0,0.981818181818
26,Bertie High,1,0,0,1,36.050399,-76.972151,485,12.65,0.0,479.0,0.987628865979
27,Bertie STEM High,1,0,0,1,36.050399,-76.972151,132,15.1,0.0,0.0,0.0
28,Bessemer City High,1,0,0,1,35.29724,-81.281434,646,15.52,48.0,348.0,0.613003095975
29,Blue Ridge Early College,1,0,0,1,35.128613,-83.120512,177,16.43,16.0,94.0,0.621468926554
30,Brevard High,1,0,0,1,35.217205,-82.735576,725,13.14,45.0,244.0,0.398620689655
31,Brunswick County Early College,1,0,0,1,34.038129,-78.229837,341,28.68,27.0,98.0,0.366568914956
33,Bunker Hill High,1,0,0,1,35.74203,-81.11132,936,16.28,89.0,418.0,0.541666666667
34,Bunn High,1,0,0,1,35.954127,-78.249753,861,15.8,53.0,367.0,0.487804878049
35,Burns High,1,0,0,1,35.420092,-81.532265,1084,14.03,77.0,523.0,0.553505535055
36,Butler High,1,0,0,1,35.120282,-80.691593,2081,19.46,51.0,174.0,0.108121095627
37,C E Jordan High,1,0,0,1,35.922669,-78.962157,1848,17.18,85.0,679.0,0.41341991342
38,Cabarrus-Kannapolis Early Coll,1,0,0,1,35.43663,-80.659001,232,27.62,14.0,83.0,0.418103448276
39,Caldwell Career Cen Mid. Coll.,1,0,0,1,35.855556,-81.48522,240,12.94,29.0,69.0,0.408333333333
40,Caldwell Early College,1,0,0,0,35.853817,-81.483806,385,21.39,45.0,105.0,0.38961038961
41,Camden County High,1,0,0,0,36.32691,-76.171991,460,14.18,26.0,92.0,0.25652173913
43,Cape Fear High,1,0,0,1,35.034044,-78.762384,1535,16.38,115.0,562.0,0.441042345277
44,Cape Hatteras Secondary School,1,0,0,1,35.26931,-75.5343,303,10.38,33.0,126.0,0.524752475248
45,Career Academy and Technical School,1,0,0,0,35.71419,-80.887581,50,5.39,0.0,3.0,0.06
46,Carolina International School,1,0,1,0,35.41157,-80.737721,700,15.98,98.0,72.0,0.242857142857
47,Carrboro High,1,0,0,0,35.891723,-79.085455,825,14.51,24.0,123.0,0.178181818182
48,Carson High,1,0,0,1,35.563039,-80.545691,1231,17.31,82.0,414.0,0.402924451665
49,Carter G Woodson School,1,0,1,1,36.06738,-80.23116,438,223.47,7.0,382.0,0.888127853881
50,Carver High,1,0,0,1,36.134288,-80.206554,648,13.6,0.0,645.0,0.99537037037
51,Cary High,1,0,0,1,35.771138,-78.76633,2396,17.68,133.0,625.0,0.316360601002
52,CCCA - Fair Bluff /Southeastern Campuses,1,0,0,1,34.331954,-78.782393,278,26.05,16.0,119.0,0.485611510791
53,Cedar Ridge High,1,0,0,0,36.054083,-79.126208,1163,15.71,0.0,35.0,0.0300945829751
55,Central Cabarrus High,1,0,0,1,35.362718,-80.583852,1416,15.99,104.0,581.0,0.483757062147
56,Central Davidson High,1,0,0,1,35.739502,-80.223108,969,17.53,65.0,396.0,0.475748194014
57,Challenger Early College High,1,0,0,1,35.699458,-81.2881,368,26.29,43.0,124.0,0.453804347826
58,Chapel Hill High,1,0,0,0,35.946507,-79.080289,1439,15.74,32.0,270.0,0.209867963864
59,Charles B Aycock High,1,0,0,1,35.509148,-77.980071,1267,17.85,60.0,430.0,0.386740331492
60,Charlotte Learning Academy,1,0,1,1,35.18158,-80.864521,146,14.6,73.0,16.0,0.609589041096
61,Charlotte Secondary,1,0,1,1,35.15197,-80.748591,425,11.81,28.0,38.0,0.155294117647
62,Chase High School,1,0,0,1,35.25136,-81.843411,812,16.4,0.0,802.0,0.987684729064
63,Chatham Central High,1,0,0,0,35.61512,-79.390631,404,14.16,21.0,123.0,0.356435643564
64,Chatham Charter,1,0,1,0,35.742493,-79.479562,497,14.97,35.0,30.0,0.130784708249
65,Cherryville High,1,0,0,1,35.389682,-81.379896,554,14.37,54.0,229.0,0.51083032491
66,City of Medicine Academy,1,0,0,1,36.038838,-78.902553,321,13.66,22.0,143.0,0.514018691589
67,Clayton High,1,0,0,0,35.650024,-78.46642,1512,17.69,11.0,65.0,0.0502645502646
68,Cleveland ECHS,1,0,0,1,35.27757,-81.490361,223,32.94,29.0,103.0,0.591928251121
69,Cleveland High,1,0,0,0,35.551507,-78.500107,1468,18.26,73.0,327.0,0.272479564033
70,Clinton High,1,0,0,1,34.973848,-78.329093,848,15.99,57.0,455.0,0.603773584906
71,Clover Garden,1,0,1,1,36.187017,-79.471089,607,17.97,64.0,131.0,0.321252059308
72,Cochrane Collegiate Academy,1,0,0,1,35.246492,-80.750138,702,14.51,3.0,696.0,0.995726495726
73,Collaborative College for Technology,1,0,0,1,35.783453,-80.893121,240,25.32,20.0,60.0,0.333333333333
74,Columbia High,1,0,0,1,35.919076,-76.245535,167,9.86,15.0,85.0,0.59880239521
75,Community School of Davidson,1,0,1,0,35.50808,-80.849741,1327,14.61,42.0,28.0,0.0527505651846
76,Concord High,1,0,0,1,35.43365,-80.582182,1252,15.82,168.0,578.0,0.595846645367
