,StateNamePublicSchoolLatestavailableyear,SchoolNamePublicSchool201415,LocationAddress1PublicSchool201415,LocationCityPublicSchool201415,LocationZIPPublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,TitleISchoolStatusPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,LowestGradeOfferedPublicSchool201415,HighestGradeOfferedPublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,Grades912StudentsPublicSchool201415,StudentTeacherRatio,Biology,District,English,Math
0,North Carolina,A L Brown High,415 E 1ST STREET,KANNAPOLIS,28083,1,0,0,1,4-Eligible for Title I SWP provides no program,35.496330,-80.618593,9th Grade,12th Grade,1,1,1,1,1475,1475,14.73,45.5,Southwest,46.1,31.3
1,North Carolina,Albemarle High,311 PARK RIDGE ROAD,ALBEMARLE,28001,1,0,0,1,4-Eligible for Title I SWP provides no program,35.371268,-80.193152,9th Grade,12th Grade,1,1,1,1,464,464,13.39,29.1,Southwest,43.4,25.6
2,North Carolina,Alexander Central High,223 SCHOOL DRIVE,TAYLORSVILLE,28681,1,0,0,1,4-Eligible for Title I SWP provides no program,35.916796,-81.188880,9th Grade,12th Grade,1,1,1,1,1601,1601,16.64,60.9,Northwest,59.9,63.2
3,North Carolina,Alleghany High,404 TROJAN AVENUE,SPARTA,28675,1,0,0,0,6-Not eligible for either TAS or SWP,36.509471,-81.124986,9th Grade,12th Grade,1,1,1,1,454,454,13.16,60.2,Northwest,59.1,58.3
4,North Carolina,Andrews High,50 HIGH SCHOOL DRIVE,ANDREWS,28901,1,0,0,1,4-Eligible for Title I SWP provides no program,35.195186,-83.824323,9th Grade,12th Grade,1,1,1,1,273,273,16.95,50.0,Western,62.3,32.4
5,North Carolina,Anson Co. Early College High,177 LEDBETTER STREET,POLKTON,28135,1,0,0,1,4-Eligible for Title I SWP provides no program,34.999700,-80.210481,9th Grade,13th Grade,1,1,1,1,195,180,19.60,20.5,Southwest,73.3,65.9
6,North Carolina,Anson High School,96 ANSON HIGH SCHOOL ROAD,WADESBORO,28170,1,0,0,1,4-Eligible for Title I SWP provides no program,34.977410,-80.103131,9th Grade,12th Grade,1,1,1,1,633,633,13.09,5.1,Southwest,21.0,24.5
7,North Carolina,Anson New Tech High,118 W. ASHE STREET,WADESBORO,28170,1,0,0,1,4-Eligible for Title I SWP provides no program,34.960669,-80.078198,9th Grade,12th Grade,1,1,1,1,165,165,21.71,18.2,Southwest,36.6,13.6
8,North Carolina,Apex High,1501 LAURA DUNCAN RD,APEX,27502,1,0,0,0,6-Not eligible for either TAS or SWP,35.745325,-78.837272,9th Grade,12th Grade,1,1,1,1,2549,2549,19.31,79.6,North Central,82.7,85.6
9,North Carolina,Arapahoe Charter School,9005 NC HWY 306 S,ARAPAHOE,28510,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.012253,-76.821202,Kindergarten,10th Grade,0,0,1,1,470,67,17.00,37.9,Southeast,52.2,57.5
10,North Carolina,Ardrey Kell High,10220 ARDREY KELL RD,CHARLOTTE,28277,1,0,0,0,6-Not eligible for either TAS or SWP,35.029990,-80.826650,9th Grade,12th Grade,1,1,1,1,2701,2701,21.18,88.1,Southwest,89.5,89.2
11,North Carolina,Ashbrook High,2222 S NEW HOPE ROAD,GASTONIA,28054,1,0,0,1,4-Eligible for Title I SWP provides no program,35.243106,-81.127153,9th Grade,12th Grade,1,1,1,1,1436,1436,16.06,61.5,Southwest,52.3,64.9
12,North Carolina,Ashe County High,184 CAMPUS DRIVE,WEST JEFFERSON,28694,1,0,0,1,4-Eligible for Title I SWP provides no program,36.392701,-81.477977,9th Grade,12th Grade,1,1,1,1,953,953,14.33,52.2,Northwest,60.4,62.9
13,North Carolina,Asheboro High,1221 S PARK ST,ASHEBORO,27203,1,0,0,1,4-Eligible for Title I SWP provides no program,35.689290,-79.818420,9th Grade,12th Grade,1,1,1,1,1311,1311,16.83,42.2,Piedmont-Triad,47.6,46.4
14,North Carolina,Asheville High,419 MCDOWELL STREET,ASHEVILLE,28803,1,0,0,1,4-Eligible for Title I SWP provides no program,35.572901,-82.553099,9th Grade,12th Grade,1,1,1,1,1089,1089,11.85,54.5,Western,65.9,48.9
15,North Carolina,Athens Drive High,1420 ATHENS DRIVE,RALEIGH,27606,1,0,0,1,1-Eligible for Title I TAS provides no program,35.768700,-78.711273,9th Grade,12th Grade,1,1,1,1,1884,1884,15.76,53.5,North Central,64.0,60.9
16,North Carolina,Atkins Academic & Tech High,3605 OLD GREENSBORO ROAD,WINSTON-SALEM,27101,1,1,0,1,4-Eligible for Title I SWP provides no program,36.108034,-80.195887,9th Grade,12th Grade,1,1,1,1,603,603,15.01,79.1,Piedmont-Triad,84.4,79.8
17,North Carolina,Avery High STEM Academy,401 AVERY COUNTY HIGH SCHOOL R,NEWLAND,28657,1,0,0,1,4-Eligible for Title I SWP provides no program,36.067608,-81.919724,9th Grade,12th Grade,1,1,1,1,174,174,21.75,80.7,Northwest,71.4,78.0
18,North Carolina,Ayden-Grifton High,7653 NC 11 SOUTH,AYDEN,28513,1,0,0,1,4-Eligible for Title I SWP provides no program,35.430252,-77.431952,9th Grade,12th Grade,1,1,1,1,689,689,15.99,25.0,Northeast,38.3,35.1
19,North Carolina,Bandys High,5040 E BANDYS ROAD,CATAWBA,28609,1,0,0,0,6-Not eligible for either TAS or SWP,35.645263,-81.084386,9th Grade,12th Grade,1,1,1,1,872,872,17.07,61.7,Northwest,65.6,66.7
20,North Carolina,Bartlett Yancey High,466 MAIN STREET E,YANCEYVILLE,27379,1,0,0,1,4-Eligible for Title I SWP provides no program,36.403341,-79.327640,9th Grade,12th Grade,1,1,1,1,814,814,15.53,33.7,Piedmont-Triad,44.2,29.6
21,North Carolina,Bear Grass,6344 E BEAR GRASS RD,WILLIAMSTON,27982,1,0,1,0,6-Not eligible for either TAS or SWP,35.767732,-77.127148,6th Grade,12th Grade,1,1,1,1,331,171,13.79,48.3,Northeast,59.1,52.0
22,North Carolina,Beaufort Co Early College High,5337 HWY 264 EAST,WASHINGTON,27889,1,0,0,1,4-Eligible for Title I SWP provides no program,35.532287,-76.966934,9th Grade,13th Grade,1,1,1,1,227,193,37.83,87.5,Northeast,95.0,93.8
23,North Carolina,Beddingfield High,4510 OLD STANTONSBURG RD,WILSON,27893,1,0,0,1,4-Eligible for Title I SWP provides no program,35.659240,-77.876371,9th Grade,12th Grade,1,1,1,1,868,868,15.03,29.0,North Central,36.2,32.6
24,North Carolina,Ben L. Smith High School,2407 SOUTH HOLDEN ROAD,GREENSBORO,27407,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.034740,-79.847350,9th Grade,12th Grade,1,1,1,1,1296,1296,15.19,34.5,Piedmont-Triad,27.3,30.9
25,North Carolina,Bertie Early College High,819 GOVERNORS ROAD,WINDSOR,27983,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.034085,-77.013154,9th Grade,13th Grade,1,1,1,1,165,153,18.33,76.8,Northeast,73.7,79.5
26,North Carolina,Bertie High,716 US HWY 13 NORTH,WINDSOR,27983,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.050399,-76.972151,9th Grade,12th Grade,1,1,1,1,485,485,12.65,18.0,Northeast,22.6,23.5
27,North Carolina,Bertie STEM High,716 US 13 NORTH,WINDSOR,27983,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.050399,-76.972151,9th Grade,12th Grade,1,1,1,1,132,132,15.10,87.1,Northeast,75.0,73.1
28,North Carolina,Bessemer City High,119 YELLOW JACKET LANE,BESSEMER CITY,28016,1,0,0,1,4-Eligible for Title I SWP provides no program,35.297240,-81.281434,9th Grade,12th Grade,1,1,1,1,646,646,15.52,45.0,Southwest,46.6,26.5
29,North Carolina,Blue Ridge Early College,95 BOBCAT DR,CASHIERS,28717,1,0,0,1,4-Eligible for Title I SWP provides no program,35.128613,-83.120512,7th Grade,13th Grade,1,1,1,1,177,113,16.43,37.5,Western,52.6,18.2
30,North Carolina,Brevard High,609 COUNTRY CLUB RD,BREVARD,28712,1,0,0,1,4-Eligible for Title I SWP provides no program,35.217205,-82.735576,9th Grade,12th Grade,1,1,1,1,725,725,13.14,62.9,Western,69.2,54.0
31,North Carolina,Brunswick County Early College,50 COLLEGE ROAD NE,BOLIVIA,28422,1,0,0,1,4-Eligible for Title I SWP provides no program,34.038129,-78.229837,9th Grade,13th Grade,1,1,1,1,341,270,28.68,87.5,Southeast,95.0,94.7
32,North Carolina,Early College,340 VICTORIA ROAD,ASHEVILLE,28801,1,0,0,1,4-Eligible for Title I SWP provides no program,35.570728,-82.555976,9th Grade,13th Grade,1,1,1,1,266,224,19.90,93.1,Western,94.8,83.9
33,North Carolina,Bunker Hill High,4675 OXFORD SCHOOL ROAD,CLAREMONT,28610,1,0,0,1,4-Eligible for Title I SWP provides no program,35.742030,-81.111320,9th Grade,12th Grade,1,1,1,1,936,936,16.28,49.4,Northwest,54.5,37.8
34,North Carolina,Bunn High,29 BUNN ELEM SCHOOL ROAD,BUNN,27508,1,0,0,1,1-Eligible for Title I TAS provides no program,35.954127,-78.249753,9th Grade,12th Grade,1,1,1,1,861,861,15.80,38.2,North Central,45.7,57.3
35,North Carolina,Burns High,307 E STAGECOACH TRAIL,LAWNDALE,28090,1,0,0,1,4-Eligible for Title I SWP provides no program,35.420092,-81.532265,9th Grade,12th Grade,1,1,1,1,1084,1084,14.03,43.0,Southwest,55.2,51.3
36,North Carolina,Butler High,1810 MATTHEWS-MINT HILL RD,MATTHEWS,28105,1,0,0,1,4-Eligible for Title I SWP provides no program,35.120282,-80.691593,9th Grade,12th Grade,1,1,1,1,2081,2081,19.46,73.9,Southwest,71.4,63.7
37,North Carolina,C E Jordan High,6806 GARRETT ROAD,DURHAM,27707,1,0,0,1,1-Eligible for Title I TAS provides no program,35.922669,-78.962157,9th Grade,12th Grade,1,1,1,1,1848,1848,17.18,56.0,North Central,60.7,37.8
38,North Carolina,Cabarrus-Kannapolis Early Coll,1531 TRINITY CHURCH RD,CONCORD,28027,1,0,0,1,4-Eligible for Title I SWP provides no program,35.436630,-80.659001,9th Grade,13th Grade,1,1,1,1,232,227,27.62,84.7,Southwest,90.0,78.3
39,North Carolina,Caldwell Career Cen Mid. Coll.,2857 HICKORY BOULEVARD,HUDSON,28638,1,0,0,1,1-Eligible for Title I TAS provides no program,35.855556,-81.485220,9th Grade,12th Grade,1,1,1,1,240,240,12.94,58.1,Northwest,86.7,82.3
40,North Carolina,Caldwell Early College,2859 HICKORY BLVD SW,HUDSON,28638,1,0,0,0,6-Not eligible for either TAS or SWP,35.853817,-81.483806,9th Grade,13th Grade,1,1,1,1,385,325,21.39,80.2,Northwest,86.4,95.0
41,North Carolina,Camden County High,103 US 158 W,CAMDEN,27921,1,0,0,0,6-Not eligible for either TAS or SWP,36.326910,-76.171991,9th Grade,12th Grade,1,1,1,1,460,460,14.18,60.5,Northeast,76.0,62.0
42,North Carolina,CamTech High,103A US HIGHWAY 158 W,CAMDEN,27921,1,0,0,0,6-Not eligible for either TAS or SWP,36.327618,-76.172311,9th Grade,12th Grade,1,1,1,1,156,156,15.93,65.7,Northeast,73.5,48.6
43,North Carolina,Cape Fear High,4762 CLINTON ROAD,FAYETTEVILLE,28301,1,0,0,1,4-Eligible for Title I SWP provides no program,35.034044,-78.762384,9th Grade,12th Grade,1,1,1,1,1535,1535,16.38,53.7,Sandhills,60.4,60.4
44,North Carolina,Cape Hatteras Secondary School,48576  HIGHWAY 12,BUXTON,27920,1,0,0,1,4-Eligible for Title I SWP provides no program,35.269310,-75.534300,6th Grade,12th Grade,1,1,1,1,303,167,10.38,63.0,Northeast,67.4,60.0
45,North Carolina,Career Academy and Technical School,350 OLD MURDOCK RD,TROUTMAN,28166,1,0,0,0,6-Not eligible for either TAS or SWP,35.714190,-80.887581,9th Grade,12th Grade,1,1,1,1,50,50,5.39,33.3,Southwest,88.9,40.0
46,North Carolina,Carolina International School,9545 POPLAR TENT ROAD,CONCORD,28027,1,0,1,0,6-Not eligible for either TAS or SWP,35.411570,-80.737721,Kindergarten,11th Grade,0,1,1,1,700,69,15.98,42.1,Southwest,70.8,30.8
47,North Carolina,Carrboro High,201 ROCK HAVEN RD,CARRBORO,27510,1,0,0,0,6-Not eligible for either TAS or SWP,35.891723,-79.085455,9th Grade,12th Grade,1,1,1,1,825,825,14.51,73.1,North Central,88.6,77.6
48,North Carolina,Carson High,290 KRESS VENTURE DR,CHINA GROVE,28023,1,0,0,1,4-Eligible for Title I SWP provides no program,35.563039,-80.545691,9th Grade,12th Grade,1,1,1,1,1231,1231,17.31,60.6,Southwest,55.9,44.2
49,North Carolina,Carter G Woodson School,437 GOLDFLOSS STREET,WINSTON-SALEM,27127,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.067380,-80.231160,Kindergarten,12th Grade,1,1,1,1,438,88,223.47,18.2,Piedmont-Triad,50.0,22.7
50,North Carolina,Carver High,3545 CARVER SCHOOL ROAD,WINSTON SALEM,27105,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.134288,-80.206554,9th Grade,12th Grade,1,1,1,1,648,648,13.60,12.9,Piedmont-Triad,23.1,25.4
51,North Carolina,Cary High,638 WALNUT ST,CARY,27511,1,0,0,1,1-Eligible for Title I TAS provides no program,35.771138,-78.766330,9th Grade,12th Grade,1,1,1,1,2396,2396,17.68,72.3,North Central,69.3,64.4
52,North Carolina,CCCA - Fair Bluff /Southeastern Campuses,4564 CHADBOURN HWY,WHITEVILLE,28472,1,0,0,1,4-Eligible for Title I SWP provides no program,34.331954,-78.782393,9th Grade,13th Grade,1,1,1,1,278,260,26.05,54.9,Sandhills,66.7,41.1
53,North Carolina,Cedar Ridge High,1125 NEW GRADY BROWN SCH RD,HILLSBOROUGH,27278,1,0,0,0,6-Not eligible for either TAS or SWP,36.054083,-79.126208,9th Grade,12th Grade,1,1,1,1,1163,1163,15.71,48.6,North Central,72.9,50.3
54,North Carolina,Central Academy of Technology & Arts,600 BREWER DR,MONROE,28112,1,0,0,0,6-Not eligible for either TAS or SWP,34.970940,-80.568760,9th Grade,12th Grade,1,1,1,1,802,802,15.48,93.3,Southwest,94.8,95.0
55,North Carolina,Central Cabarrus High,505 HWY 49 S,CONCORD,28025,1,0,0,1,4-Eligible for Title I SWP provides no program,35.362718,-80.583852,9th Grade,12th Grade,1,1,1,1,1416,1416,15.99,54.1,Southwest,58.3,49.1
56,North Carolina,Central Davidson High,2747 NC HWY 47,LEXINGTON,27292,1,0,0,1,4-Eligible for Title I SWP provides no program,35.739502,-80.223108,9th Grade,12th Grade,1,1,1,1,969,969,17.53,45.7,Piedmont-Triad,57.4,44.3
