,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location ZIP4 [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15,Biology,English,Math
0,North Carolina,A L Brown High,415 E 1ST STREET,KANNAPOLIS,28083,4501,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.496330,-80.618593,9th Grade,12th Grade,1,1,1,1,1475,1475,32.3,36.3,28.3
1,North Carolina,Albemarle High,311 PARK RIDGE ROAD,ALBEMARLE,28001,2818,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.371268,-80.193152,9th Grade,12th Grade,1,1,1,1,464,464,22.9,33.1,36.8
2,North Carolina,Alexander Central High,223 SCHOOL DRIVE,TAYLORSVILLE,28681,2399,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.916796,-81.188880,9th Grade,12th Grade,1,1,1,1,1601,1601,56.1,55.8,54.1
3,North Carolina,Alleghany High,404 TROJAN AVENUE,SPARTA,28675,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,36.509471,-81.124986,9th Grade,12th Grade,1,1,1,1,454,454,43.8,55.0,47.1
4,North Carolina,Andrews High,50 HIGH SCHOOL DRIVE,ANDREWS,28901,8059,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.195186,-83.824323,9th Grade,12th Grade,1,1,1,1,273,273,46.5,55.9,64.2
5,North Carolina,Anson Co. Early College High,177 LEDBETTER STREET,POLKTON,28135,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.999700,-80.210481,9th Grade,13th Grade,1,1,1,1,195,180,71.4,72.0,68.5
6,North Carolina,Anson High School,96 ANSON HIGH SCHOOL ROAD,WADESBORO,28170,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.977410,-80.103131,9th Grade,12th Grade,1,1,1,1,633,633,31.2,33.3,42.6
7,North Carolina,Anson New Tech High,118 W. ASHE STREET,WADESBORO,28170,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.960669,-80.078198,9th Grade,12th Grade,1,1,1,1,165,165,59.1,54.5,34.4
8,NORTH CAROLINA,Apex Friendship High,7901 HUMIE OLIVE RD,APEX,27502,999999,1-Regular school,NaN,0,NaN,NaN,35.701540,-78.914041,NaN,NaN,0,0,0,0,999999,999999,70.4,82.5,82.3
9,North Carolina,Apex High,1501 LAURA DUNCAN RD,APEX,27502,1539,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.745325,-78.837272,9th Grade,12th Grade,1,1,1,1,2549,2549,72.2,78.3,83.1
10,North Carolina,Arapahoe Charter School,9005 NC HWY 306 S,ARAPAHOE,28510,999999,1-Regular school,0,1,1,5-Eligible for Title I SWP provides SWP program,35.012253,-76.821202,Kindergarten,10th Grade,0,0,1,1,470,67,31.6,65.0,53.8
11,North Carolina,Ardrey Kell High,10220 ARDREY KELL RD,CHARLOTTE,28277,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.029990,-80.826650,9th Grade,12th Grade,1,1,1,1,2701,2701,91.8,91.3,91.1
12,North Carolina,Ashbrook High,2222 S NEW HOPE ROAD,GASTONIA,28054,6596,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.243106,-81.127153,9th Grade,12th Grade,1,1,1,1,1436,1436,47.4,46.1,46.5
13,North Carolina,Ashe County High,184 CAMPUS DRIVE,WEST JEFFERSON,28694,"=""0450""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.392701,-81.477977,9th Grade,12th Grade,1,1,1,1,953,953,61.4,61.6,53.0
14,North Carolina,Asheboro High,1221 S PARK ST,ASHEBORO,27203,6711,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.689290,-79.818420,9th Grade,12th Grade,1,1,1,1,1311,1311,40.4,56.1,46.5
15,North Carolina,Asheville High,419 MCDOWELL STREET,ASHEVILLE,28803,2610,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.572901,-82.553099,9th Grade,12th Grade,1,1,1,1,1089,1089,55.8,70.6,56.2
16,North Carolina,Athens Drive High,1420 ATHENS DRIVE,RALEIGH,27606,999999,1-Regular school,0,0,1,1-Eligible for Title I TAS provides no program,35.768700,-78.711273,9th Grade,12th Grade,1,1,1,1,1884,1884,55.7,63.0,57.9
17,North Carolina,Atkins Academic & Tech High,3605 OLD GREENSBORO ROAD,WINSTON-SALEM,27101,999999,1-Regular school,1,0,1,4-Eligible for Title I SWP provides no program,36.108034,-80.195887,9th Grade,12th Grade,1,1,1,1,603,603,79.1,78.0,75.6
18,North Carolina,Avery County High,401 AVERY COUNTY HIGH SCHOOL R,NEWLAND,28657,1300,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.067608,-81.919724,9th Grade,12th Grade,1,1,1,1,386,386,48.5,54.9,51.4
19,North Carolina,Ayden-Grifton High,7653 NC 11 SOUTH,AYDEN,28513,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.430252,-77.431952,9th Grade,12th Grade,1,1,1,1,689,689,58.1,40.0,48.4
20,North Carolina,Bandys High,5040 E BANDYS ROAD,CATAWBA,28609,9727,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.645263,-81.084386,9th Grade,12th Grade,1,1,1,1,872,872,67.6,58.9,72.9
21,North Carolina,Bartlett Yancey High,466 MAIN STREET E,YANCEYVILLE,27379,"=""0190""",1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,36.403341,-79.327640,9th Grade,12th Grade,1,1,1,1,814,814,33.6,48.0,32.1
22,North Carolina,Beaufort Co Early College High,5337 HWY 264 EAST,WASHINGTON,27889,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.532287,-76.966934,9th Grade,13th Grade,1,1,1,1,227,193,88.2,95.0,95.0
23,North Carolina,Beddingfield High,4510 OLD STANTONSBURG RD,WILSON,27893,8419,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.659240,-77.876371,9th Grade,12th Grade,1,1,1,1,868,868,26.3,44.9,52.4
24,North Carolina,Ben L. Smith High School,2407 SOUTH HOLDEN ROAD,GREENSBORO,27407,5799,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.034740,-79.847350,9th Grade,12th Grade,1,1,1,1,1296,1296,41.1,33.0,35.8
25,North Carolina,Bertie Early College High,819 GOVERNORS ROAD,WINDSOR,27983,999999,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.034085,-77.013154,9th Grade,13th Grade,1,1,1,1,165,153,74.1,75.6,61.2
26,North Carolina,Bertie High,716 US HWY 13 NORTH,WINDSOR,27983,9803,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.050399,-76.972151,9th Grade,12th Grade,1,1,1,1,485,485,27.9,20.0,9.5
27,North Carolina,Bertie STEM High,716 US 13 NORTH,WINDSOR,27983,999999,1-Regular school,0,0,1,5-Eligible for Title I SWP provides SWP program,36.050399,-76.972151,9th Grade,12th Grade,1,1,1,1,132,132,50.0,74.3,64.4
28,North Carolina,Bessemer City High,119 YELLOW JACKET LANE,BESSEMER CITY,28016,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.297240,-81.281434,9th Grade,12th Grade,1,1,1,1,646,646,49.2,34.3,31.1
29,North Carolina,Blue Ridge Early College,95 BOBCAT DR,CASHIERS,28717,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.128613,-83.120512,7th Grade,13th Grade,1,1,1,1,177,113,42.9,57.9,45.2
30,North Carolina,Bradford Preparatory School,2502 SALOME CHURCH RD,CHARLOTTE,28262,999999,1-Regular school,0,1,1,5-Eligible for Title I SWP provides SWP program,35.345060,-80.719281,Kindergarten,8th Grade,0,0,0,0,466,999999,64.3,83.3,84.3
31,North Carolina,Brevard High,609 COUNTRY CLUB RD,BREVARD,28712,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.217205,-82.735576,9th Grade,12th Grade,1,1,1,1,725,725,50.0,64.9,76.8
32,North Carolina,Brunswick County Early College,50 COLLEGE ROAD NE,BOLIVIA,28422,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,34.038129,-78.229837,9th Grade,13th Grade,1,1,1,1,341,270,95.0,92.9,95.0
33,North Carolina,Early College,340 VICTORIA ROAD,ASHEVILLE,28801,999999,1-Regular school,0,0,1,4-Eligible for Title I SWP provides no program,35.570728,-82.555976,9th Grade,13th Grade,1,1,1,1,266,224,69.6,91.1,88.3
34,North Carolina,Nesbitt Discovery Academy,175 BINGHAM RD STE 10,ASHEVILLE,28806,999999,1-Regular school,0,0,0,6-Not eligible for either TAS or SWP,35.606810,-82.583391,9th Grade,9th Grade,0,0,0,1,100,100,89.8,95.0,95.0
