,StateNamePublicSchoolLatestavailableyear,SchoolNamePublicSchool201415,LocationAddress1PublicSchool201415,LocationCityPublicSchool201415,LocationZIPPublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,TitleISchoolStatusPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,LowestGradeOfferedPublicSchool201415,HighestGradeOfferedPublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,Grades912StudentsPublicSchool201415,StudentTeacherRatio,Biology,District,English,Math,Reduced Lunch,Free Lunch,Percent Lunch
0,North Carolina,A L Brown High,415 E 1ST STREET,KANNAPOLIS,28083,1,0,0,1,4,35.496330,-80.618593,9th Grade,12th Grade,1,1,1,1,1475,1475,14.73,45.5,Southwest,46.1,31.3,181.0,662.0,0.571525423729
1,North Carolina,Albemarle High,311 PARK RIDGE ROAD,ALBEMARLE,28001,1,0,0,1,4,35.371268,-80.193152,9th Grade,12th Grade,1,1,1,1,464,464,13.39,29.1,Southwest,43.4,25.6,39.0,288.0,0.70474137931
2,North Carolina,Alexander Central High,223 SCHOOL DRIVE,TAYLORSVILLE,28681,1,0,0,1,4,35.916796,-81.188880,9th Grade,12th Grade,1,1,1,1,1601,1601,16.64,60.9,Northwest,59.9,63.2,145.0,551.0,0.434728294816
3,North Carolina,Alleghany High,404 TROJAN AVENUE,SPARTA,28675,1,0,0,0,6,36.509471,-81.124986,9th Grade,12th Grade,1,1,1,1,454,454,13.16,60.2,Northwest,59.1,58.3,45.0,205.0,0.550660792952
4,North Carolina,Andrews High,50 HIGH SCHOOL DRIVE,ANDREWS,28901,1,0,0,1,4,35.195186,-83.824323,9th Grade,12th Grade,1,1,1,1,273,273,16.95,50.0,Western,62.3,32.4,30.0,128.0,0.578754578755
5,North Carolina,Anson Co. Early College High,177 LEDBETTER STREET,POLKTON,28135,1,0,0,1,4,34.999700,-80.210481,9th Grade,13th Grade,1,1,1,1,195,180,19.60,20.5,Southwest,73.3,65.9,15.0,77.0,0.471794871795
6,North Carolina,Anson High School,96 ANSON HIGH SCHOOL ROAD,WADESBORO,28170,1,0,0,1,4,34.977410,-80.103131,9th Grade,12th Grade,1,1,1,1,633,633,13.09,5.1,Southwest,21.0,24.5,47.0,422.0,0.740916271722
7,North Carolina,Anson New Tech High,118 W. ASHE STREET,WADESBORO,28170,1,0,0,1,4,34.960669,-80.078198,9th Grade,12th Grade,1,1,1,1,165,165,21.71,18.2,Southwest,36.6,13.6,14.0,94.0,0.654545454545
8,North Carolina,Apex High,1501 LAURA DUNCAN RD,APEX,27502,1,0,0,0,6,35.745325,-78.837272,9th Grade,12th Grade,1,1,1,1,2549,2549,19.31,79.6,North Central,82.7,85.6,50.0,176.0,0.0886622204786
9,North Carolina,Arapahoe Charter School,9005 NC HWY 306 S,ARAPAHOE,28510,1,0,1,1,5,35.012253,-76.821202,Kindergarten,10th Grade,0,0,1,1,470,67,17.00,37.9,Southeast,52.2,57.5,47.0,203.0,0.531914893617
10,North Carolina,Ardrey Kell High,10220 ARDREY KELL RD,CHARLOTTE,28277,1,0,0,0,6,35.029990,-80.826650,9th Grade,12th Grade,1,1,1,1,2701,2701,21.18,88.1,Southwest,89.5,89.2,79.0,232.0,0.1151425398
11,North Carolina,Ashbrook High,2222 S NEW HOPE ROAD,GASTONIA,28054,1,0,0,1,4,35.243106,-81.127153,9th Grade,12th Grade,1,1,1,1,1436,1436,16.06,61.5,Southwest,52.3,64.9,119.0,718.0,0.58286908078
12,North Carolina,Ashe County High,184 CAMPUS DRIVE,WEST JEFFERSON,28694,1,0,0,1,4,36.392701,-81.477977,9th Grade,12th Grade,1,1,1,1,953,953,14.33,52.2,Northwest,60.4,62.9,110.0,397.0,0.532004197272
13,North Carolina,Asheboro High,1221 S PARK ST,ASHEBORO,27203,1,0,0,1,4,35.689290,-79.818420,9th Grade,12th Grade,1,1,1,1,1311,1311,16.83,42.2,Piedmont-Triad,47.6,46.4,111.0,714.0,0.629290617849
14,North Carolina,Asheville High,419 MCDOWELL STREET,ASHEVILLE,28803,1,0,0,1,4,35.572901,-82.553099,9th Grade,12th Grade,1,1,1,1,1089,1089,11.85,54.5,Western,65.9,48.9,49.0,378.0,0.392102846648
15,North Carolina,Athens Drive High,1420 ATHENS DRIVE,RALEIGH,27606,1,0,0,1,1,35.768700,-78.711273,9th Grade,12th Grade,1,1,1,1,1884,1884,15.76,53.5,North Central,64.0,60.9,87.0,622.0,0.376326963907
16,North Carolina,Atkins Academic & Tech High,3605 OLD GREENSBORO ROAD,WINSTON-SALEM,27101,1,1,0,1,4,36.108034,-80.195887,9th Grade,12th Grade,1,1,1,1,603,603,15.01,79.1,Piedmont-Triad,84.4,79.8,38.0,154.0,0.318407960199
17,North Carolina,Avery High STEM Academy,401 AVERY COUNTY HIGH SCHOOL R,NEWLAND,28657,1,0,0,1,4,36.067608,-81.919724,9th Grade,12th Grade,1,1,1,1,174,174,21.75,80.7,Northwest,71.4,78.0,10.0,71.0,0.465517241379
18,North Carolina,Ayden-Grifton High,7653 NC 11 SOUTH,AYDEN,28513,1,0,0,1,4,35.430252,-77.431952,9th Grade,12th Grade,1,1,1,1,689,689,15.99,25.0,Northeast,38.3,35.1,48.0,339.0,0.561683599419
