School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
A G COX MIDDLE,North Carolina,17.06
A H SNIPES ACADEMY OF ARTS/DES,North Carolina,13.82
A L BROWN HIGH,North Carolina,14.73
A L STANBACK MIDDLE,North Carolina,12.45
A T ALLEN ELEMENTARY,North Carolina,15.68
A.C.E. ACADEMY,North Carolina,22.43
ABBOTT'S CREEK ELEMENTARY SCHOOL,North Carolina,†
ABERDEEN ELEMENTARY,North Carolina,13.42
ABERDEEN PRIMARY,North Carolina,12.72
ACME DELCO ELEMENTARY,North Carolina,14.28
ACME DELCO MIDDLE,North Carolina,13.62
ADAMS ELEMENTARY,North Carolina,13.75
AHOSKIE ELEMENTARY,North Carolina,17.86
ALAMANCE ELEMENTARY,North Carolina,17.12
ALAMANCE-BURLINGTON MIDDLE COLLEGE,North Carolina,15.60
ALBEMARLE HIGH,North Carolina,13.39
ALBEMARLE MIDDLE,North Carolina,13.45
ALBEMARLE ROAD ELEMENTARY,North Carolina,16.76
ALBEMARLE ROAD MIDDLE,North Carolina,18.48
ALBERT H BANGERT ELEMENTARY,North Carolina,12.84
ALDERMAN ROAD ELEMENTARY,North Carolina,13.87
ALEXANDER CENTRAL HIGH,North Carolina,16.64
ALEXANDER GRAHAM MIDDLE,North Carolina,18.60
ALEXANDER WILSON ELEMENTARY,North Carolina,17.24
ALGER B. WILKINS HIGH SCHOOL PLC,North Carolina,12.09
ALLEGHANY HIGH,North Carolina,13.16
ALLEN JAY ELEMENTARY,North Carolina,14.15
ALLEN JAY MIDDLE A PREPARATORY ACADEMY,North Carolina,14.98
ALLEN MIDDLE,North Carolina,17.05
ALLENBROOK ELEMENTARY,North Carolina,16.72
ALMA O EASOM ELEMENTARY,North Carolina,16.40
ALPHA ACADEMY,North Carolina,28.10
ALSTON RIDGE ELEMENTARY,North Carolina,15.79
ALTAMAHAW OSSIPEE ELEM,North Carolina,16.60
AMERICAN RENAISSANCE SCHOOL,North Carolina,15.26
ANDERSON CREEK CLUB CHARTER,North Carolina,13.42
ANDERSON CREEK PRIMARY,North Carolina,13.91
ANDREWS ELEMENTARY,North Carolina,15.14
ANDREWS HIGH,North Carolina,16.95
ANDREWS MIDDLE,North Carolina,14.81
ANGIER ELEMENTARY,North Carolina,13.83
ANNE CHESNUTT MIDDLE,North Carolina,14.16
ANSON ACADEMY,North Carolina,14.81
ANSON CO. EARLY COLLEGE HIGH,North Carolina,19.60
ANSON HIGH SCHOOL,North Carolina,13.09
ANSON MIDDLE,North Carolina,17.56
ANSON NEW TECH HIGH,North Carolina,21.71
ANSONVILLE ELEMENTARY,North Carolina,12.73
ANTIOCH ELEMENTARY,North Carolina,17.35
APEX ELEMENTARY,North Carolina,15.36
APEX FRIENDSHIP HIGH,NORTH CAROLINA,†
APEX HIGH,North Carolina,19.31
APEX MIDDLE,North Carolina,18.91
APPLE VALLEY MIDDLE,North Carolina,15.65
AQUADALE ELEMENTARY,North Carolina,13.17
ARAPAHOE CHARTER SCHOOL,North Carolina,17.00
